
g = 7
  60.  a-seq=[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 4, 4, 4, 5, 6, 7, 8, 11, 12, 13, 13]  sum=102  Isog=[3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]
  61.  a-seq=[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 2, 4, 4, 4, 5, 5, 6, 8, 9, 10, 10, 13, 13]  sum=103  Isog=[3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1]
  62.  a-seq=[0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 4, 5, 6, 7, 7, 8, 8, 12, 12, 13]  sum=103  Isog=[3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1]
  63.  a-seq=[0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1]  a-number=4  type-seq=[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 6, 7, 7, 8, 10, 11, 12, 13]  sum=104  Isog=[3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1]
  64.  a-seq=[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 4, 4, 5, 6, 7, 7, 8, 8, 9, 10, 12, 12, 13]  sum=119  Isog=[4, 4, 3, 3, 2, 1, 1, 1, 1, 1]
  65.  a-seq=[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]  a-number=2  type-seq=[1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 6, 10, 11, 12]  sum=93  Isog=[3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1]
  66.  a-seq=[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 6, 6, 11, 12, 13]  sum=94  Isog=[3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]
  67.  a-seq=[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 9, 10, 12, 13]  sum=95  Isog=[3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1]
  68.  a-seq=[0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 5, 6, 6, 8, 9, 10, 12, 13, 13]  sum=110  Isog=[3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1]
  69.  a-seq=[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 6, 6, 12, 12, 13]  sum=95  Isog=[3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]
